Player position X,Player position Y,Seconds elapsed this session
0.00,0.00,0.41
0.00,0.00,0.67
0.00,0.00,0.94
0.00,0.00,1.20
0.00,0.00,1.45
0.00,0.00,1.70
0.00,0.00,1.95
0.00,0.00,2.41
0.00,0.00,2.68
0.00,0.00,2.95
0.00,0.00,3.21
0.00,0.00,3.45
0.00,0.00,3.71
0.00,0.00,3.96
0.00,0.00,4.22
0.00,0.00,4.61
0.00,0.00,4.87
0.00,0.00,5.12
0.00,0.00,5.38
0.00,0.00,5.63
0.00,0.00,5.90
0.00,0.00,6.16
0.00,0.00,6.40
0.00,0.00,6.69
0.00,0.00,6.95
0.00,0.00,7.37
0.00,0.00,7.61
0.00,0.00,7.91
0.00,0.00,8.15
0.00,0.00,8.40
0.00,0.00,8.65
0.00,0.00,8.90

